Title,Actors,Directors,Genre,IMDb_Rating,Plot,Poster_Image,Link
100 Days My Prince,"['Doh Kyung-soo', 'Nam Ji-hyun', 'Jo Sung-ha', 'Jo Han-chul', 'Kim Seon-ho', 'Han So-hee', 'Kim Jae-young']","['Lee Jong-jae', 'Nam Sung-woo']","['Historical', 'Romantic comedy']",7.8,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.  Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette. ",https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/100_Days_My_Prince.jpg/250px-100_Days_My_Prince.jpg,https://en.wikipedia.org/wiki/100_Days_My_Prince
12 Signs of Love,"['Yoon Jin-seo', 'On Joo-wan']",['Oh Jong-rok'],['Romantic comedy'],5.6,"A young man struggling for a good life meets a deaf girl from a well-off nearby family, he suddenly sees hope for love, and a better life but only if he can escape the predicament of the streets and the influence of his older sister.   A young man struggling for a good life meets a deaf girl from a well-off nearby family, he suddenly sees hope for love, and a better life but only if he can escape the predicament of the streets and the influence of his older sister. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Twelvemeninayear-poster.jpg/220px-Twelvemeninayear-poster.jpg,https://en.wikipedia.org/wiki/12_Signs_of_Love
12 Years Promise,"['Lee So-yeon', 'Namkoong Min', 'Lee Tae-im', 'Yoon So-hee', 'Lee Won-keun', 'Ryu Hyo-young']","['Kim Do-hyung', 'Yoon Jae-won']","['Romantic comedy', 'Family']",7.2,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.  A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Wild_Chives_and_Soy_Bean_Soup-poster.jpg/220px-Wild_Chives_and_Soy_Bean_Soup-poster.jpg,https://en.wikipedia.org/wiki/12_Years_Promise
18 Again,"['Kim Ha-neul', 'Yoon Sang-hyun', 'Lee Do-hyun']",['Ha Byung-hoon'],"['Romance', 'Comedy', 'Fantasy drama', 'Coming-of-age']",5.8,"In this feel-good body-switchers comedy, aging worldly-wise businessman Jack Watson swaps bodies with his grandson David in the wake of an automobile accident. George Burns shines in his final leading role.   In this feel-good body-switchers comedy, aging worldly-wise businessman Jack Watson swaps bodies with his grandson David in the wake of an automobile accident. George Burns shines in his final leading role. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/18_Again_2020.jpg/220px-18_Again_2020.jpg,https://en.wikipedia.org/wiki/18_Again
365: Repeat the Year,"['Lee Joon-hyuk', 'Nam Ji-hyun', 'Kim Ji-soo', 'Yang Dong-geun']",['Kim Kyung-hee'],"['Mystery', 'Fantasy']",7.9,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.  A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/365_Repeat_the_Year.jpg/220px-365_Repeat_the_Year.jpg,https://en.wikipedia.org/wiki/365:_Repeat_the_Year
4 Legendary Witches,"['Han Ji-hye', 'Ha Seok-jin', 'Go Doo-shim', 'Oh Hyun-kyung', 'Ha Yeon-soo']",['Joo Sung-woo'],"['Romance', 'Revenge', 'Family']",7.6,"Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined. They team up to challenge a big conglomerate in order to ex... Read all   Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined. They team up to challenge a big conglomerate in order to ex... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Legendarywitchesposter.png/220px-Legendarywitchesposter.png,https://en.wikipedia.org/wiki/4_Legendary_Witches
49 Days,"['Lee Yo-won', 'Nam Gyu-ri', 'Jung Il-woo', 'Jo Hyun-jae', 'Bae Soo-bin', 'Seo Ji-hye']",['Jo Young-kwang'],"['Romance', 'Melodrama', 'Fantasy', 'Body swap']",4.6,The same nightmare troubles Daniel every night: A vision of a young lady in red dress continuously appears. A timer counting-back from 49 mysteriously appears on his arm. People around him accidentally died one by one in brutal ways.   The same nightmare troubles Daniel every night: A vision of a young lady in red dress continuously appears. A timer counting-back from 49 mysteriously appears on his arm. People around him accidentally died one by one in brutal ways. ,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/49dayspost.jpg/220px-49dayspost.jpg,https://en.wikipedia.org/wiki/49_Days
5th Republic (TV series),"['Lee Deok-hwa', 'Seo In-seok', 'Hong Hak-pyo', 'Lee Jin-woo', 'Cha Kwang-soo', 'Lee Jae-yong']","['Im Tae-woo', 'Kim Sang-rae']","['Period drama', 'Docudrama', 'Biopic']",8.7,"5th Republic is a controversial political drama about the Fifth Republic of South Korea, one of the most turbulent times in modern Korean history.  5th Republic is a controversial political drama about the Fifth Republic of South Korea, one of the most turbulent times in modern Korean history. ",https://upload.wikimedia.org/wikipedia/en/thumb/1/16/5th_Republic_%28TV_series%29.jpg/220px-5th_Republic_%28TV_series%29.jpg,https://en.wikipedia.org/wiki/5th_Republic_(TV_series)
7 First Kisses,"['Lee Cho-hee', 'Choi Ji-woo', 'Lee Joon-gi', 'Park Hae-jin', 'Ji Chang-wook', 'Kim Jong-in', 'Ok Taec-yeon', 'Lee Jong-suk', 'Lee Min-ho']",['Jung Jung-hwa'],['Romantic comedy'],6.1,"Young Ji Eun-Tak can see ghosts and meets Kim Shin, a man who is a goblin. The goblin is cursed to live forever and his only hope is to find a betrothed who can pull out the sword stuck in his chest.   Young Ji Eun-Tak can see ghosts and meets Kim Shin, a man who is a goblin. The goblin is cursed to live forever and his only hope is to find a betrothed who can pull out the sword stuck in his chest. ",https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/First_Seven_Kisses_Poster.jpg/220px-First_Seven_Kisses_Poster.jpg,https://en.wikipedia.org/wiki/7_First_Kisses
7th Grade Civil Servant,"['Choi Kang-hee', 'Joo Won']","['Kim Sang-hyup', 'Oh Hyun-jong']","['Romantic comedy', 'Action']",6.2,"A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents.   A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents. ",https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/7th_Grade_Civil_Servant-poster.jpg/220px-7th_Grade_Civil_Servant-poster.jpg,https://en.wikipedia.org/wiki/7th_Grade_Civil_Servant
